车型,城市,上牌量,级别,指导价(万元),能源类型,price_mean_auto,cluster
途观L,上海,528,SUV,18.68-26.68,燃油车,22.68,0
零跑C01,台州,11,中大型车,13.68-20.88,新能源,17.28,1
宝马5系,青岛,138,中大型车,43.99-52.59,燃油车,48.290000000000006,0
宋L DM-i,宿迁,23,SUV,13.58-17.58,新能源,15.579999999999998,1
小鹏P7+,杭州,211,中大型车,18.68-20.88,新能源,19.78,1
领克01,长沙,13,SUV,14.98-19.68,燃油车,17.33,0
212 T01,沈阳,16,SUV,13.99-18.88,燃油车,16.435,0
影豹,广州,82,紧凑型车,11.80-15.80,燃油车,13.8,0
小蚂蚁,安阳,26,微型车,5.49-7.69,燃油车,6.59,0
君越,烟台,48,中型车,17.99-23.99,燃油车,20.99,0
极氪7X,桂林,15,SUV,22.99-26.99,新能源,24.99,1
秦L,湘西,19,中型车,9.98-15.38,新能源,12.68,1
别克GL8新能源,商丘,73,MPV,24.99-41.99,新能源,33.49,1
AION Y,嘉兴,14,SUV,9.98-14.58,新能源,12.280000000000001,1
瑞虎8 PLUS,烟台,22,SUV,10.99-16.29,燃油车,13.64,0
长安UNI-V,九江,11,紧凑型车,10.89-13.99,燃油车,12.440000000000001,0
北京EU5,南昌,201,紧凑型车,12.99-17.19,燃油车,15.09,0
汉兰达,秦皇岛,26,SUV,24.98-34.88,新能源,29.93,1
博越L,呼和浩特,69,SUV,9.99-14.97,燃油车,12.48,0
皇冠陆放,珠海,14,SUV,27.78-35.28,燃油车,31.53,0
海豹06新能源,东莞,233,中型车,9.98-13.98,新能源,11.98,1
奔腾小马,绥化,37,微型车,2.49-5.39,燃油车,3.94,0
帕萨特,郴州,21,中型车,16.45-23.99,燃油车,20.22,0
雅阁,南宁,153,中型车,17.98-23.88,燃油车,20.93,0
岚图梦想家,南通,12,MPV,32.99-63.99,新能源,48.49,1
吉利ICON,佳木斯,13,SUV,9.69-12.99,燃油车,11.34,0
凯迪拉克XT5,上海,220,SUV,35.27-45.99,燃油车,40.63,0
海豹06新能源,菏泽,84,中型车,9.98-13.98,新能源,11.98,1
宋L DM-i,广州,387,SUV,13.58-17.58,新能源,15.579999999999998,1
帕萨特,荆州,16,中型车,16.45-23.99,燃油车,20.22,0
帝豪,渭南,34,紧凑型车,6.29-14.98,燃油车,10.635,0
瑞虎8 PLUS,六盘水,16,SUV,10.99-16.29,燃油车,13.64,0
荣威i5,濮阳,44,紧凑型车,6.89-9.09,燃油车,7.99,0
坦克300,深圳,47,SUV,19.98-33.00,燃油车,26.490000000000002,0
哈弗大狗,平凉,30,SUV,11.99-16.79,燃油车,14.39,0
极狐 阿尔法T5(ARCFOX αT5),唐山,33,SUV,11.98-19.98,燃油车,15.98,0
博越L,晋城,19,SUV,9.99-14.97,燃油车,12.48,0
捷途X70,成都,117,SUV,10.69-14.99,燃油车,12.84,0
帕萨特,泰州,20,中型车,16.45-23.99,燃油车,20.22,0
途岳,北京,176,SUV,12.59-21.66,燃油车,17.125,0
雷克萨斯RX,长春,24,SUV,38.00-61.90,燃油车,49.95,0
海鸥,秦皇岛,63,小型车,6.98-8.58,新能源,7.78,1
途岳,昆明,182,SUV,12.59-21.66,燃油车,17.125,0
格瑞维亚,杭州,86,MPV,29.98-41.68,燃油车,35.83,0
奔腾小马,本溪,26,微型车,2.49-5.39,燃油车,3.94,0
长安Lumin,辽阳,48,微型车,3.79-6.59,燃油车,5.1899999999999995,0
阿维塔06,海口,42,中型车,20.99-27.99,新能源,24.49,1
探岳,安庆,31,SUV,19.89-25.99,燃油车,22.939999999999998,0
五菱宏光V,鞍山,14,MPV,4.31-5.45,燃油车,4.88,0
MG5,西宁,71,紧凑型车,6.79-9.99,燃油车,8.39,0
五菱星光S,淄博,14,SUV,9.98-12.98,燃油车,11.48,0
eπ007,天津,12,中大型车,11.59-19.96,燃油车,15.775,0
KX3傲跑,无锡,11,SUV,10.88-13.68,燃油车,12.280000000000001,0
奔腾小马,葫芦岛,23,微型车,2.49-5.39,燃油车,3.94,0
豹5,南宁,37,SUV,23.98-32.98,燃油车,28.479999999999997,0
本田CR-V,泉州,131,SUV,18.59-26.39,燃油车,22.490000000000002,0
亚洲龙,鞍山,23,中型车,17.88-27.98,燃油车,22.93,0
哈弗大狗,鹤岗,14,SUV,11.99-16.79,燃油车,14.39,0
欧拉好猫,保定,37,小型车,10.58-13.58,燃油车,12.08,0
昂科威Plus,石家庄,97,SUV,22.99-25.99,燃油车,24.49,0
荣威i5,运城,41,紧凑型车,6.89-9.09,燃油车,7.99,0
君越,鄂尔多斯,13,中型车,17.99-23.99,燃油车,20.99,0
奔驰V级,郑州,12,MPV,47.88-66.98,燃油车,57.43000000000001,0
传祺GS3,长治,66,SUV,8.58-11.18,燃油车,9.879999999999999,0
缤越,合肥,55,SUV,6.68-10.38,燃油车,8.530000000000001,0
哈弗H9,拉萨,16,SUV,19.99-24.79,燃油车,22.39,0
荣威i5,温州,19,紧凑型车,6.89-9.09,燃油车,7.99,0
荣威i5,晋中,90,紧凑型车,6.89-9.09,燃油车,7.99,0
小鹏X9,嘉兴,32,MPV,35.98-41.98,新能源,38.98,1
ID.4 CROZZ,安阳,11,SUV,19.39-29.86,燃油车,24.625,0
大众ID.3,淮北,17,紧凑型车,12.99-15.59,燃油车,14.29,0
极氪001,合肥,36,中大型车,25.90-32.90,新能源,29.4,1
问界M7,衡阳,12,SUV,24.98-32.98,新能源,28.979999999999997,1
星途凌云,广州,17,SUV,12.99-18.99,燃油车,15.989999999999998,0
红旗HS5,邢台,22,SUV,18.38-24.98,燃油车,21.68,0
AION Y,保定,32,SUV,9.98-14.58,新能源,12.280000000000001,1
领克900,郑州,136,SUV,30.99-41.69,燃油车,36.339999999999996,0
红旗HS5,庆阳,12,SUV,18.38-24.98,燃油车,21.68,0
长安启源Q07,佛山,61,SUV,12.98-17.18,燃油车,15.08,0
长安启源Q07,南充,21,SUV,12.98-17.18,燃油车,15.08,0
奔驰V级,合肥,27,MPV,47.88-66.98,燃油车,57.43000000000001,0
雅阁新能源,江门,12,中型车,22.58-25.88,新能源,24.229999999999997,1
星越L,南通,61,SUV,13.72-17.97,燃油车,15.844999999999999,0
欧拉好猫,石家庄,25,小型车,10.58-13.58,燃油车,12.08,0
宏光MINIEV,眉山,35,微型车,3.28-9.99,新能源,6.635,1
朗逸,黄山,21,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
探岳,红河,22,SUV,19.89-25.99,燃油车,22.939999999999998,0
奥迪A6L,郑州,586,中大型车,42.79-65.68,燃油车,54.235,0
威兰达,宁德,17,SUV,17.38-26.48,燃油车,21.93,0
红旗HS5,秦皇岛,21,SUV,18.38-24.98,燃油车,21.68,0
探险者,西宁,23,SUV,30.98-39.98,燃油车,35.48,0
路虎卫士,上海,62,SUV,68.80-171.60,燃油车,120.19999999999999,0
途岳,黔南,20,SUV,12.59-21.66,燃油车,17.125,0
长安CS75 PLUS,濮阳,21,SUV,11.39-14.99,燃油车,13.190000000000001,0
凯美瑞,伊犁,14,中型车,17.18-25.98,燃油车,21.58,0
悦意03,松原,15,SUV,7.98-12.29,燃油车,10.135,0
捷达VS5,毕节,11,SUV,8.79-12.19,燃油车,10.489999999999998,0
卡罗拉锐放,玉林,28,SUV,12.98-18.48,燃油车,15.73,0
红旗H5,黄冈,11,中型车,15.98-22.58,燃油车,19.28,0
荣威i5,南平,11,紧凑型车,6.89-9.09,燃油车,7.99,0
领克Z20,福州,16,SUV,13.89-15.39,燃油车,14.64,0
传祺GS3,南通,13,SUV,8.58-11.18,燃油车,9.879999999999999,0
威兰达,保定,51,SUV,17.38-26.48,燃油车,21.93,0
轩逸,蚌埠,26,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
熊猫,青岛,205,微型车,2.99-5.39,燃油车,4.1899999999999995,0
传祺M8,武汉,49,MPV,17.98-34.28,燃油车,26.130000000000003,0
海鸥,铁岭,28,小型车,6.98-8.58,新能源,7.78,1
探岳,平凉,21,SUV,19.89-25.99,燃油车,22.939999999999998,0
坦克500新能源,张掖,11,SUV,33.50-36.38,新能源,34.94,1
途昂,宁波,40,SUV,24.90-38.90,燃油车,31.9,0
速腾,商丘,74,紧凑型车,12.79-17.29,燃油车,15.04,0
迈腾,遵义,132,中型车,17.49-24.69,燃油车,21.09,0
迈腾,南通,67,中型车,17.49-24.69,燃油车,21.09,0
星瑞,郑州,165,紧凑型车,9.97-14.57,燃油车,12.27,0
五菱宏光S,东莞,16,MPV,0.00-0.00,燃油车,0.0,0
领克08 EM-P,肇庆,11,SUV,18.58-24.88,燃油车,21.729999999999997,0
小鹏G6,遵义,12,SUV,17.68-27.69,新能源,22.685000000000002,1
腾势D9,信阳,11,MPV,33.98-66.00,新能源,49.989999999999995,1
宝马5系,荆州,20,中大型车,43.99-52.59,燃油车,48.290000000000006,0
Model Y,海口,238,SUV,26.35-31.35,新能源,28.85,1
海豹06新能源,葫芦岛,29,中型车,9.98-13.98,新能源,11.98,1
星瑞,扬州,21,紧凑型车,9.97-14.57,燃油车,12.27,0
悦意03,信阳,13,SUV,7.98-12.29,燃油车,10.135,0
腾势Z9GT,武汉,17,中大型车,33.48-41.48,新能源,37.48,1
海豚,衡阳,22,小型车,9.98-12.98,新能源,11.48,1
途岳,昭通,65,SUV,12.59-21.66,燃油车,17.125,0
坦克300新能源,阿克苏,23,SUV,24.98-26.98,新能源,25.98,1
沃尔沃XC60,青岛,105,SUV,39.69-47.49,燃油车,43.59,0
银河L6,保定,25,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
速腾,平凉,28,紧凑型车,12.79-17.29,燃油车,15.04,0
五菱缤果PLUS,徐州,13,SUV,7.58-9.88,燃油车,8.73,0
轩逸,杭州,103,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
哈弗猛龙新能源,深圳,25,SUV,16.58-19.28,新能源,17.93,1
揽胜运动版,沈阳,15,SUV,95.00-243.80,燃油车,169.4,0
海豹06GT,常州,53,中型车,13.68-18.68,新能源,16.18,1
凌渡,郑州,39,紧凑型车,14.39-19.09,燃油车,16.740000000000002,0
型格,梧州,17,紧凑型车,12.99-18.69,燃油车,15.84,0
艾瑞泽8,贺州,26,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
探岳,绍兴,36,SUV,19.89-25.99,燃油车,22.939999999999998,0
传祺M8,大连,38,MPV,17.98-34.28,燃油车,26.130000000000003,0
亚洲龙,银川,17,中型车,17.88-27.98,燃油车,22.93,0
智界R7,南宁,68,SUV,24.98-33.98,新能源,29.479999999999997,1
逸动,绥化,21,紧凑型车,7.29-9.69,燃油车,8.49,0
小鹏X9,沈阳,16,MPV,35.98-41.98,新能源,38.98,1
QQ冰淇淋,开封,19,微型车,2.99-5.69,燃油车,4.34,0
朗逸,巴中,23,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
格瑞维亚,宁波,27,MPV,29.98-41.68,燃油车,35.83,0
朗逸,临汾,76,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
探岳,资阳,18,SUV,19.89-25.99,燃油车,22.939999999999998,0
零跑C11,湖州,108,SUV,14.88-20.98,新能源,17.93,1
宏光MINIEV,榆林,92,微型车,3.28-9.99,新能源,6.635,1
风云A8,菏泽,13,紧凑型车,7.99-14.99,燃油车,11.49,0
奔驰C级,抚州,15,中型车,33.48-38.06,燃油车,35.769999999999996,0
理想L9,银川,17,SUV,40.98-43.98,新能源,42.48,1
卡罗拉锐放,保山,15,SUV,12.98-18.48,燃油车,15.73,0
锋兰达,黄石,21,SUV,12.58-18.48,燃油车,15.530000000000001,0
秦L,宿州,55,中型车,9.98-15.38,新能源,12.68,1
奥迪A3,盐城,26,紧凑型车,16.59-25.13,燃油车,20.86,0
宝马X5,郑州,116,SUV,61.50-83.00,燃油车,72.25,0
雷克萨斯ES,芜湖,25,中大型车,29.69-48.89,燃油车,39.29,0
星愿,惠州,122,小型车,6.88-9.78,燃油车,8.33,0
Model 3,南充,30,中型车,23.19-33.95,新能源,28.57,1
红旗HS5,天津,79,SUV,18.38-24.98,燃油车,21.68,0
小鹏MONA M03,广元,11,紧凑型车,11.98-15.58,新能源,13.780000000000001,1
奥迪Q6,无锡,14,SUV,46.76-61.56,燃油车,54.16,0
长安CS75 PLUS,延安,50,SUV,11.39-14.99,燃油车,13.190000000000001,0
荣威i6 MAX新能源,南京,21,紧凑型车,15.28-25.98,新能源,20.63,1
长安启源A07,上海,40,中大型车,11.99-17.69,燃油车,14.84,0
汉L,丽水,11,中大型车,20.98-27.98,新能源,24.48,1
长安CS75,武威,11,SUV,10.29-11.99,燃油车,11.14,0
理想L6,唐山,129,SUV,24.98-27.98,新能源,26.48,1
荣威D6,重庆,27,紧凑型车,9.98-13.98,燃油车,11.98,0
长安欧尚X5 PLUS,威海,18,SUV,9.19-11.49,燃油车,10.34,0
极狐 阿尔法S5,长沙,78,中型车,12.78-18.48,燃油车,15.629999999999999,0
思域,杭州,21,紧凑型车,12.99-18.79,燃油车,15.89,0
途观L,安康,16,SUV,18.68-26.68,燃油车,22.68,0
宝马X2(进口),苏州,12,SUV,31.69-34.99,燃油车,33.34,0
宝马X5,海口,30,SUV,61.50-83.00,燃油车,72.25,0
风云T9,吴忠,11,SUV,12.99-19.39,燃油车,16.19,0
航海家,大连,16,SUV,32.58-46.88,燃油车,39.730000000000004,0
红旗H5,信阳,20,中型车,15.98-22.58,燃油车,19.28,0
红旗HS3,重庆,27,SUV,14.58-19.58,燃油车,17.08,0
问界M9,济宁,30,SUV,46.98-56.98,新能源,51.98,1
荣威i5,平顶山,15,紧凑型车,6.89-9.09,燃油车,7.99,0
零跑B10,昆明,19,SUV,9.98-14.98,新能源,12.48,1
腾势N9,昆明,29,SUV,38.98-44.98,新能源,41.98,1
捷途X70,江门,38,SUV,10.69-14.99,燃油车,12.84,0
海鸥,盘锦,19,小型车,6.98-8.58,新能源,7.78,1
银河L6,重庆,104,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
长安欧尚X5 PLUS,淄博,21,SUV,9.19-11.49,燃油车,10.34,0
银河星舰7 EM-i,汕头,87,SUV,10.38-13.68,燃油车,12.030000000000001,0
海豹06GT,宿迁,20,中型车,13.68-18.68,新能源,16.18,1
天籁,滨州,29,中型车,17.98-23.98,燃油车,20.98,0
长安欧尚X5 PLUS,天津,26,SUV,9.19-11.49,燃油车,10.34,0
帕萨特,天津,405,中型车,16.45-23.99,燃油车,20.22,0
帝豪L HiP,西安,11,紧凑型车,8.98-16.88,燃油车,12.93,0
长安CS75 PLUS,亳州,14,SUV,11.39-14.99,燃油车,13.190000000000001,0
捷达VS5,威海,20,SUV,8.79-12.19,燃油车,10.489999999999998,0
五菱宏光V,连云港,20,MPV,4.31-5.45,燃油车,4.88,0
君越,南京,105,中型车,17.99-23.99,燃油车,20.99,0
五菱宏光新能源,石家庄,55,MPV,6.88-7.38,新能源,7.13,1
捷达VS5,衡阳,15,SUV,8.79-12.19,燃油车,10.489999999999998,0
速腾,蚌埠,28,紧凑型车,12.79-17.29,燃油车,15.04,0
奔驰E级,洛阳,18,中大型车,44.72-59.98,燃油车,52.349999999999994,0
奥迪Q3,西宁,11,SUV,25.18-29.68,燃油车,27.43,0
腾势D9,周口,16,MPV,33.98-66.00,新能源,49.989999999999995,1
长安UNI-V,绵阳,12,紧凑型车,10.89-13.99,燃油车,12.440000000000001,0
奔驰GLE,温州,27,SUV,69.98-88.98,燃油车,79.48,0
红旗H6,金华,23,中型车,17.98-23.98,燃油车,20.98,0
瑞虎8 PRO,铁岭,12,SUV,11.99-16.69,燃油车,14.34,0
纳米01,太原,22,小型车,6.58-13.98,燃油车,10.280000000000001,0
捷途旅行者,保定,64,SUV,13.99-23.99,燃油车,18.99,0
易至EV3,宜春,14,微型车,5.28-6.68,新能源,5.98,1
汉兰达,湛江,15,SUV,24.98-34.88,新能源,29.93,1
北京越野BJ40增程,哈密,14,SUV,17.98-29.98,新能源,23.98,1
卡罗拉锐放,江门,164,SUV,12.98-18.48,燃油车,15.73,0
长安Lumin,成都,57,微型车,3.79-6.59,燃油车,5.1899999999999995,0
凯美瑞,许昌,28,中型车,17.18-25.98,燃油车,21.58,0
海狮05 DM-i,鄂尔多斯,12,SUV,10.28-14.28,新能源,12.28,1
五菱宏光新能源,宣城,16,MPV,6.88-7.38,新能源,7.13,1
宋L DM-i,信阳,29,SUV,13.58-17.58,新能源,15.579999999999998,1
纳米01,成都,50,小型车,6.58-13.98,燃油车,10.280000000000001,0
瑞虎9,汕头,12,SUV,15.29-20.99,燃油车,18.14,0
风云T9,徐州,30,SUV,12.99-19.39,燃油车,16.19,0
奔驰GLB,乌鲁木齐,25,SUV,31.19-36.79,燃油车,33.99,0
汉,南通,33,中大型车,16.58-25.98,新能源,21.28,1
帕萨特,泸州,50,中型车,16.45-23.99,燃油车,20.22,0
凡尔赛C5 X,潍坊,19,中型车,9.97-18.67,燃油车,14.32,0
零跑C11,淮北,20,SUV,14.88-20.98,新能源,17.93,1
宝来,黔西南,20,紧凑型车,11.29-14.39,燃油车,12.84,0
坦克500新能源,长春,65,SUV,33.50-36.38,新能源,34.94,1
五菱之光,普洱,12,MPV,3.51-3.79,燃油车,3.65,0
eπ008,天津,26,SUV,17.86-20.36,燃油车,19.11,0
海豹06GT,南京,112,中型车,13.68-18.68,新能源,16.18,1
奇瑞iCAR V23,龙岩,15,SUV,9.98-14.98,燃油车,12.48,0
奥迪Q5L,盐城,65,SUV,34.98-48.88,燃油车,41.93,0
极氪7X,湖州,14,SUV,22.99-26.99,新能源,24.99,1
五菱宏光S,包头,11,MPV,0.00-0.00,燃油车,0.0,0
雅阁新能源,长沙,16,中型车,22.58-25.88,新能源,24.229999999999997,1
铂智3X,长沙,52,SUV,10.98-15.98,燃油车,13.48,0
eπ008,佛山,40,SUV,17.86-20.36,燃油车,19.11,0
福瑞迪,朝阳,26,紧凑型车,7.88-10.28,燃油车,9.08,0
雅阁,兴安盟,13,中型车,17.98-23.88,燃油车,20.93,0
福瑞迪,西安,30,紧凑型车,7.88-10.28,燃油车,9.08,0
豹5,太原,61,SUV,23.98-32.98,燃油车,28.479999999999997,0
极氪007GT,洛阳,27,中型车,20.29-26.29,新能源,23.29,1
蒙迪欧,北京,38,中型车,14.98-22.98,燃油车,18.98,0
宝马X3,莆田,11,SUV,34.99-48.69,燃油车,41.84,0
瑞虎5x,哈尔滨,42,SUV,5.99-9.99,燃油车,7.99,0
捷途自由者,潍坊,14,SUV,12.49-15.49,燃油车,13.99,0
宋PLUS新能源,大连,141,SUV,13.58-18.08,新能源,15.829999999999998,1
宝来,三明,16,紧凑型车,11.29-14.39,燃油车,12.84,0
迈腾,临沂,243,中型车,17.49-24.69,燃油车,21.09,0
宋L DM-i,东莞,173,SUV,13.58-17.58,新能源,15.579999999999998,1
锋兰达,临沧,16,SUV,12.58-18.48,燃油车,15.530000000000001,0
长安UNI-Z新能源,洛阳,14,SUV,11.79-13.39,新能源,12.59,1
宝马i3,南宁,19,中型车,35.39-41.39,燃油车,38.39,0
零跑B10,阜阳,14,SUV,9.98-14.98,新能源,12.48,1
奥迪Q5L,合肥,219,SUV,34.98-48.88,燃油车,41.93,0
领克900,哈尔滨,47,SUV,30.99-41.69,燃油车,36.339999999999996,0
皓影,凉山,15,SUV,18.59-26.39,燃油车,22.490000000000002,0
长安CS75 PLUS,楚雄,12,SUV,11.39-14.99,燃油车,13.190000000000001,0
标致408,石家庄,21,紧凑型车,10.57-12.57,燃油车,11.57,0
瑞虎3x,烟台,19,SUV,4.99-8.49,燃油车,6.74,0
昂科威Plus,重庆,123,SUV,22.99-25.99,燃油车,24.49,0
欧萌达,亳州,11,SUV,10.99-12.99,燃油车,11.99,0
宝马X5,凉山,12,SUV,61.50-83.00,燃油车,72.25,0
奥迪Q2L,成都,13,SUV,17.18-26.10,燃油车,21.64,0
逸动,荆门,17,紧凑型车,7.29-9.69,燃油车,8.49,0
小鹏X9,佛山,75,MPV,35.98-41.98,新能源,38.98,1
博越,石家庄,27,SUV,9.28-12.58,燃油车,10.93,0
宋PLUS新能源,宝鸡,42,SUV,13.58-18.08,新能源,15.829999999999998,1
秦L,长治,48,中型车,9.98-15.38,新能源,12.68,1
途岳,抚州,13,SUV,12.59-21.66,燃油车,17.125,0
理想L7,乌鲁木齐,64,SUV,30.18-35.98,新能源,33.08,1
天籁,常德,14,中型车,17.98-23.98,燃油车,20.98,0
本田CR-V,江门,76,SUV,18.59-26.39,燃油车,22.490000000000002,0
深蓝G318,宁波,13,SUV,17.59-31.80,新能源,24.695,1
欧拉好猫,亳州,24,小型车,10.58-13.58,燃油车,12.08,0
迈腾,文山,20,中型车,17.49-24.69,燃油车,21.09,0
理想L7,长春,246,SUV,30.18-35.98,新能源,33.08,1
问界M8,遂宁,12,SUV,35.98-44.98,新能源,40.48,1
瑞虎8 PRO,福州,17,SUV,11.99-16.69,燃油车,14.34,0
领克06,南京,42,SUV,10.86-13.26,燃油车,12.059999999999999,0
宋PLUS新能源,毕节,49,SUV,13.58-18.08,新能源,15.829999999999998,1
秦PLUS,乐山,55,紧凑型车,7.98-17.98,新能源,12.98,1
海豚,合肥,211,小型车,9.98-12.98,新能源,11.48,1
博越,惠州,14,SUV,9.28-12.58,燃油车,10.93,0
五菱星光,佛山,11,中型车,7.98-12.58,燃油车,10.280000000000001,0
格瑞维亚,新余,11,MPV,29.98-41.68,燃油车,35.83,0
宏光MINIEV,铁岭,50,微型车,3.28-9.99,新能源,6.635,1
宝来,鞍山,19,紧凑型车,11.29-14.39,燃油车,12.84,0
奔驰GLC,清远,13,SUV,42.78-53.13,燃油车,47.955,0
领克900,上海,156,SUV,30.99-41.69,燃油车,36.339999999999996,0
宝骏悦也Plus,太原,11,SUV,7.68-10.58,燃油车,9.129999999999999,0
五菱宏光S,眉山,16,MPV,0.00-0.00,燃油车,0.0,0
威兰达,襄阳,30,SUV,17.38-26.48,燃油车,21.93,0
逸动,合肥,97,紧凑型车,7.29-9.69,燃油车,8.49,0
瑞虎9,沧州,26,SUV,15.29-20.99,燃油车,18.14,0
锐界,锡林郭勒,23,SUV,22.68-30.98,燃油车,26.83,0
五菱佳辰,泰安,14,MPV,6.88-11.58,燃油车,9.23,0
宝马3系,廊坊,45,中型车,29.99-39.99,燃油车,34.99,0
宝马X3,南昌,28,SUV,34.99-48.69,燃油车,41.84,0
长安CS75 PLUS,广安,32,SUV,11.39-14.99,燃油车,13.190000000000001,0
宋Pro新能源,郑州,253,SUV,10.28-14.28,新能源,12.28,1
MG5,临沂,37,紧凑型车,6.79-9.99,燃油车,8.39,0
小蚂蚁,合肥,24,微型车,5.49-7.69,燃油车,6.59,0
宝马iX1,北京,27,SUV,29.99-33.99,燃油车,31.990000000000002,0
亚洲龙,日照,24,中型车,17.88-27.98,燃油车,22.93,0
宋Pro新能源,唐山,158,SUV,10.28-14.28,新能源,12.28,1
逸动,沈阳,151,紧凑型车,7.29-9.69,燃油车,8.49,0
银河星耀8,南阳,18,中大型车,12.58-16.58,燃油车,14.579999999999998,0
宝马X5,蚌埠,13,SUV,61.50-83.00,燃油车,72.25,0
Cayenne,嘉兴,20,SUV,91.80-250.80,燃油车,171.3,0
捷途自由者,台州,83,SUV,12.49-15.49,燃油车,13.99,0
银河L6,宜昌,21,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
瑞虎8 PLUS,绍兴,31,SUV,10.99-16.29,燃油车,13.64,0
小米SU7,石家庄,346,中大型车,21.59-29.99,新能源,25.79,1
帕萨特,资阳,16,中型车,16.45-23.99,燃油车,20.22,0
探岳,聊城,28,SUV,19.89-25.99,燃油车,22.939999999999998,0
长安欧尚X5 PLUS,常德,11,SUV,9.19-11.49,燃油车,10.34,0
长安之星5,广州,12,MPV,3.39-4.09,燃油车,3.74,0
奥迪A3,鄂尔多斯,14,紧凑型车,16.59-25.13,燃油车,20.86,0
沃尔沃S90,无锡,11,中大型车,40.69-50.59,燃油车,45.64,0
冠道,深圳,14,SUV,22.48-33.28,燃油车,27.880000000000003,0
奥迪A4L,抚州,12,中型车,28.98-40.08,燃油车,34.53,0
奇瑞iCAR V23,重庆,53,SUV,9.98-14.98,燃油车,12.48,0
皇冠陆放,深圳,128,SUV,27.78-35.28,燃油车,31.53,0
星越L,武汉,391,SUV,13.72-17.97,燃油车,15.844999999999999,0
缤越,阿克苏,126,SUV,6.68-10.38,燃油车,8.530000000000001,0
星瑞,滨州,28,紧凑型车,9.97-14.57,燃油车,12.27,0
极狐 阿尔法T5(ARCFOX αT5),邯郸,12,SUV,11.98-19.98,燃油车,15.98,0
悦意03,烟台,31,SUV,7.98-12.29,燃油车,10.135,0
沃尔沃XC60,金华,17,SUV,39.69-47.49,燃油车,43.59,0
212 T01,天津,14,SUV,13.99-18.88,燃油车,16.435,0
Model 3,南宁,109,中型车,23.19-33.95,新能源,28.57,1
坦克500新能源,呼和浩特,42,SUV,33.50-36.38,新能源,34.94,1
坦克500新能源,深圳,15,SUV,33.50-36.38,新能源,34.94,1
唐新能源,荆州,23,SUV,17.98-26.98,新能源,22.48,1
亚洲龙,菏泽,31,中型车,17.88-27.98,燃油车,22.93,0
哈弗大狗,洛阳,22,SUV,11.99-16.79,燃油车,14.39,0
宋PLUS新能源,巴彦淖尔,21,SUV,13.58-18.08,新能源,15.829999999999998,1
元UP,桂林,92,SUV,9.68-11.98,新能源,10.83,1
威兰达,宝鸡,17,SUV,17.38-26.48,燃油车,21.93,0
享界S9,徐州,11,中大型车,30.98-44.98,新能源,37.98,1
科鲁泽,成都,14,紧凑型车,9.49-10.89,燃油车,10.190000000000001,0
瑞虎5x,榆林,14,SUV,5.99-9.99,燃油车,7.99,0
哈弗H6,宜春,16,SUV,9.89-14.69,燃油车,12.29,0
捷途旅行者,赤峰,27,SUV,13.99-23.99,燃油车,18.99,0
零跑C16,潍坊,35,SUV,15.18-18.98,新能源,17.08,1
银河E5,邢台,38,SUV,11.28-14.88,燃油车,13.08,0
蓝电E5,遵义,12,SUV,9.98-15.39,燃油车,12.685,0
哈弗猛龙新能源,酒泉,17,SUV,16.58-19.28,新能源,17.93,1
五菱之光新能源,武汉,23,MPV,4.78-5.08,新能源,4.93,1
五菱星光S,六安,13,SUV,9.98-12.98,燃油车,11.48,0
亚洲龙,钦州,19,中型车,17.88-27.98,燃油车,22.93,0
途观L,淮北,25,SUV,18.68-26.68,燃油车,22.68,0
零跑T03,钦州,59,微型车,4.99-6.99,新能源,5.99,1
魏牌 蓝山,泉州,12,SUV,27.38-32.68,燃油车,30.03,0
奥迪Q5L,厦门,44,SUV,34.98-48.88,燃油车,41.93,0
秦L,平凉,20,中型车,9.98-15.38,新能源,12.68,1
阿维塔06,赣州,32,中型车,20.99-27.99,新能源,24.49,1
